Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm,league_strength
68057,Rafael Navarro,24,Brazil,False,Palmeiras,Attacker,23.0,705.0,3.0,3.0,92.0,6.0,20.0,11.0,,7.0,12.0,31.0,,,14.0,49.0,140.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/68057.png,https://media.api-sports.io/football/teams/121.png,6.621052,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/68057.png,https://media.api-sports.io/football/teams/121.png,Serie A,84.0,184.0,94
143368,Bruno Gomes,23,Brazil,False,Coritiba,Midfielder,18.0,1499.0,29.0,21.0,651.0,4.0,15.0,37.0,,19.0,48.0,29.0,4.0,22.0,40.0,114.0,211.0,,1.0,0.0,,https://media.api-sports.io/football/players/143368.png,https://media.api-sports.io/football/teams/147.png,6.866666,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/143368.png,https://media.api-sports.io/football/teams/147.png,Serie A,76.0,175.0,94
267770,Roni,25,Brazil,False,Corinthians,Midfielder,19.0,746.0,16.0,5.0,267.0,1.0,3.0,3.0,,1.0,3.0,12.0,1.0,4.0,16.0,25.0,62.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/267770.png,https://media.api-sports.io/football/teams/131.png,6.380000,5.0,1.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/267770.png,https://media.api-sports.io/football/teams/131.png,Serie A,,174.0,94
278495,Gabriel Pirani,22,Brazil,False,Cuiaba,Midfielder,10.0,439.0,10.0,9.0,118.0,2.0,4.0,8.0,,4.0,4.0,6.0,,2.0,5.0,14.0,45.0,,1.0,0.0,,https://media.api-sports.io/football/players/278495.png,https://media.api-sports.io/football/teams/1193.png,6.540000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/278495.png,https://media.api-sports.io/football/teams/1193.png,Serie A,71.0,170.0,94
311286,João Pedro,21,Brazil,False,Atletico Paranaense,Defender,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/311286.png,https://media.api-sports.io/football/teams/134.png,,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/311286.png,https://media.api-sports.io/football/teams/134.png,Serie A,73.0,184.0,94
7541,Victor Sá,30,Brazil,False,Botafogo,Attacker,27.0,1837.0,15.0,31.0,488.0,6.0,11.0,72.0,,34.0,30.0,20.0,3.0,16.0,36.0,111.0,262.0,,2.0,0.0,,https://media.api-sports.io/football/players/7541.png,https://media.api-sports.io/football/teams/120.png,6.608000,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/7541.png,https://media.api-sports.io/football/teams/120.png,Serie A,69.0,175.0,94
9325,Jorginho,33,Brazil,False,Atletico Goianiense,Midfielder,30.0,1642.0,21.0,30.0,695.0,6.0,19.0,49.0,,30.0,27.0,15.0,1.0,5.0,28.0,110.0,190.0,,3.0,0.0,,https://media.api-sports.io/football/players/9325.png,https://media.api-sports.io/football/teams/144.png,6.940740,8.0,1.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/9325.png,https://media.api-sports.io/football/teams/144.png,Serie A,64.0,180.0,94
10040,Artur,26,Brazil,False,RB Bragantino,Attacker,33.0,2799.0,22.0,69.0,879.0,24.0,51.0,66.0,,36.0,48.0,14.0,7.0,12.0,24.0,121.0,248.0,5.0,6.0,0.0,,https://media.api-sports.io/football/players/10040.png,https://media.api-sports.io/football/teams/794.png,7.143333,3.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/10040.png,https://media.api-sports.io/football/teams/794.png,Serie A,68.0,168.0,94
10115,Robson Bambu,27,Brazil,False,Corinthians,Defender,7.0,391.0,25.0,1.0,178.0,,1.0,2.0,,2.0,4.0,3.0,2.0,9.0,10.0,20.0,32.0,,0.0,0.0,,https://media.api-sports.io/football/players/10115.png,https://media.api-sports.io/football/teams/131.png,6.716666,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/10115.png,https://media.api-sports.io/football/teams/131.png,Serie A,69.0,185.0,94
10306,Nino,27,Brazil,False,Fluminense,Defender,30.0,2517.0,48.0,8.0,1543.0,4.0,11.0,12.0,,11.0,38.0,28.0,17.0,30.0,28.0,138.0,216.0,,0.0,0.0,,https://media.api-sports.io/football/players/10306.png,https://media.api-sports.io/football/teams/124.png,7.031034,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/10306.png,https://media.api-sports.io/football/teams/124.png,Serie A,82.0,188.0,94
