Id,Name,Age,Nationality,Injured,Team,Position,Games,Minutes,Accuracy_Passes,Key_Passes,Total_Passes,Shots_On,Shots_Total,Dribbles_Attempts,Dribbles_Past,Dribbles_Success,Fouls_Drawn,Fouls_Committed,Tackled_Block,Tackled_Intercept,Tackled_Total,Duels_Won,Duels_Total,Goals_Assist,Goals_Total,Goals_Conceded,Goals_Saves,Photo,Logo_Team,Rating,Yellow_Cards,Red_Cards,Yellow_Red_Cards,Captain,Penalty_Won,Penalty_Commited,Penalty_Scored,Penalty_Missed,Penalty_Saved,player_photo,player_team_logo,player_league_name,Weight_kg,Height_cm
182592,Jorge Herrando,23,Spain,False,Osasuna,Defender,19.0,1644.0,,2.0,739.0,,3.0,3.0,,3.0,10.0,26.0,11.0,14.0,29.0,68.0,128.0,0.0,0.0,0.0,,https://media.api-sports.io/football/players/182592.png,https://media.api-sports.io/football/teams/727.png,6.652631,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/182592.png,https://media.api-sports.io/football/teams/727.png,La Liga,,190.0
184226,Yeremy Pino,22,Spain,False,Villarreal,Midfielder,7.0,481.0,,5.0,158.0,4.0,7.0,15.0,,9.0,9.0,22.0,1.0,5.0,25.0,51.0,104.0,,0.0,0.0,,https://media.api-sports.io/football/players/184226.png,https://media.api-sports.io/football/teams/533.png,6.971428,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/184226.png,https://media.api-sports.io/football/teams/533.png,La Liga,65.0,172.0
187987,Ramon Terrats,24,Spain,False,Villarreal,Midfielder,19.0,780.0,,8.0,411.0,1.0,5.0,20.0,,11.0,16.0,15.0,1.0,2.0,18.0,50.0,97.0,2.0,0.0,0.0,,https://media.api-sports.io/football/players/187987.png,https://media.api-sports.io/football/teams/533.png,6.600000,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/187987.png,https://media.api-sports.io/football/teams/533.png,La Liga,,181.0
290740,I. Akhomach,20,Morocco,False,Villarreal,Attacker,31.0,1512.0,,21.0,443.0,7.0,17.0,115.0,,57.0,35.0,42.0,2.0,13.0,36.0,131.0,281.0,2.0,2.0,0.0,,https://media.api-sports.io/football/players/290740.png,https://media.api-sports.io/football/teams/533.png,6.751612,4.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/290740.png,https://media.api-sports.io/football/teams/533.png,La Liga,70.0,175.0
348029,D. Stamatakis Vailakakis,21,Greece,False,Osasuna,Goalkeeper,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,https://media.api-sports.io/football/players/348029.png,https://media.api-sports.io/football/teams/727.png,,0.0,0.0,0.0,False,,,0.0,0.0,0.0,https://media.api-sports.io/football/players/348029.png,https://media.api-sports.io/football/teams/727.png,La Liga,,191.0
378284,E. Eyong,21,Cameroon,False,Cadiz,Attacker,1.0,20.0,,,2.0,,,,,,,1.0,,,1.0,1.0,3.0,,0.0,0.0,,https://media.api-sports.io/football/players/378284.png,https://media.api-sports.io/football/teams/724.png,6.200000,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/378284.png,https://media.api-sports.io/football/teams/724.png,La Liga,,181.0
53,Á. Correa,29,Argentina,False,Atletico Madrid,Attacker,32.0,1522.0,,32.0,469.0,20.0,34.0,53.0,,26.0,32.0,24.0,,2.0,22.0,85.0,193.0,2.0,9.0,0.0,,https://media.api-sports.io/football/players/53.png,https://media.api-sports.io/football/teams/530.png,7.015625,3.0,0.0,0.0,False,,,1.0,0.0,,https://media.api-sports.io/football/players/53.png,https://media.api-sports.io/football/teams/530.png,La Liga,68.0,171.0
56,A. Griezmann,33,France,False,Atletico Madrid,Attacker,33.0,2653.0,,43.0,1243.0,34.0,56.0,37.0,,22.0,26.0,16.0,3.0,10.0,33.0,95.0,203.0,6.0,16.0,0.0,,https://media.api-sports.io/football/players/56.png,https://media.api-sports.io/football/teams/530.png,7.457575,5.0,0.0,0.0,False,,,4.0,0.0,,https://media.api-sports.io/football/players/56.png,https://media.api-sports.io/football/teams/530.png,La Liga,73.0,176.0
166,J. Foyth,26,Argentina,False,Villarreal,Defender,12.0,1062.0,,5.0,576.0,2.0,4.0,26.0,,20.0,7.0,18.0,4.0,12.0,26.0,79.0,141.0,1.0,1.0,0.0,,https://media.api-sports.io/football/players/166.png,https://media.api-sports.io/football/teams/533.png,7.050000,1.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/166.png,https://media.api-sports.io/football/teams/533.png,La Liga,83.0,187.0
314,Raúl Albiol,39,Spain,False,Villarreal,Defender,26.0,2035.0,41.0,3.0,1262.0,1.0,5.0,,,,8.0,21.0,24.0,16.0,25.0,79.0,140.0,1.0,0.0,0.0,,https://media.api-sports.io/football/players/314.png,https://media.api-sports.io/football/teams/533.png,6.803846,6.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/314.png,https://media.api-sports.io/football/teams/533.png,La Liga,74.0,187.0
925,Gonçalo Guedes,28,Portugal,False,Villarreal,Attacker,17.0,948.0,,19.0,300.0,8.0,17.0,16.0,,10.0,16.0,5.0,,2.0,6.0,34.0,70.0,2.0,3.0,0.0,,https://media.api-sports.io/football/players/925.png,https://media.api-sports.io/football/teams/533.png,7.047058,0.0,0.0,0.0,False,,,0.0,0.0,,https://media.api-sports.io/football/players/925.png,https://media.api-sports.io/football/teams/533.png,La Liga,68.0,179.0
